country_long,Local,English,Other,Only Emojis/Links
Malta,0.8114687584527996,47.1869083040303,43.85988639437382,8.14173654314309
Lithuania,6.62362505978001,50.44237207077953,29.01721664275466,13.916786226685796
Estonia,7.6807379925799655,51.78983254787928,32.45763561616364,8.071793843377119
Bulgaria,20.631319358816278,31.36374845869297,35.75832305795315,12.246609124537608
Romania,21.186751609352587,40.122077315633234,21.35352389846903,17.337647176545147
Croatia,25.400114318376676,36.47470705915976,22.720777364961418,15.404401257502142
Slovakia,25.851004464285715,38.741629464285715,21.219308035714285,14.188058035714285
Hungary,29.29847986852917,35.887428101889896,23.310394412489728,11.503697617091207
Denmark,31.90475104349611,39.712154733937005,19.834409141710193,8.548685080856695
Sweden,38.6053867535704,31.43966260902904,21.913160164861498,8.04179047253906
Latvia,46.27742269822077,24.172280762365407,19.329763344273623,10.220533195140208
Slovenia,47.83807062876831,24.780361757105943,18.113695090439276,9.267872523686476
Finland,52.672336111736875,26.775456183825185,14.048772246001352,6.503435458436585
Czechia,56.65696187590983,18.534838887358855,17.507967108628083,7.3002321281032385
Greece,58.33221999554665,19.54019149409931,12.093075038966823,10.034513471387218
